NAME,ID,TEAM,PLAY_SEASON,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
Brook Lopez,3448,brooklyn-nets,2012/2013,7,7,37.6,22.3,4.1,3.3,7.4,1.4,0.86,3.00,2.3,2.9,0.6
Deron Williams,2798,brooklyn-nets,2012/2013,7,7,41.7,20.6,0.1,3.0,3.1,8.4,1.00,0.57,3.0,2.4,2.8
Joe Johnson,1007,brooklyn-nets,2012/2013,7,7,38.7,14.9,0.6,2.6,3.1,2.7,1.14,0.00,1.7,1.9,1.6
Gerald Wallace,1026,brooklyn-nets,2012/2013,7,7,34.7,12.0,0.7,3.3,4.0,2.4,1.14,0.71,1.3,2.9,1.9
Andray Blatche,2746,brooklyn-nets,2012/2013,7,0,19.7,10.3,1.4,3.4,4.9,1.3,0.29,0.43,0.7,2.0,1.8
C.J. Watson,3277,brooklyn-nets,2012/2013,7,0,23.0,8.6,0.7,1.7,2.4,1.9,0.71,0.14,0.1,1.6,13.0
Reggie Evans,1828,brooklyn-nets,2012/2013,7,7,29.9,4.6,2.3,10.0,12.3,0.9,1.00,0.29,0.9,3.0,1.0
Kris Humphries,2433,brooklyn-nets,2012/2013,7,0,11.9,4.4,1.4,1.9,3.3,0.1,0.14,0.43,0.3,2.1,0.5
Jerry Stackhouse,802,brooklyn-nets,2012/2013,4,0,7.0,1.3,0.3,0.8,1.0,0.0,0.00,0.00,0.5,0.5,0.0
MarShon Brooks,6428,brooklyn-nets,2012/2013,7,0,5.7,1.1,0.1,0.6,0.7,0.4,0.00,0.00,0.4,0.4,1.0
Keith Bogans,1995,brooklyn-nets,2012/2013,2,0,11.5,0.0,0.0,1.0,1.0,1.0,0.00,0.00,0.5,1.5,2.0
Mirza Teletovic,4385,brooklyn-nets,2012/2013,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0
Tyshawn Taylor,6625,brooklyn-nets,2012/2013,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0
Joe Johnson,1007,brooklyn-nets,2013/2014,12,12,39.1,21.2,0.8,3.1,3.8,2.9,0.50,0.25,1.6,1.7,1.8
Deron Williams,2798,brooklyn-nets,2013/2014,12,12,35.7,14.5,0.6,2.6,3.2,5.8,1.08,0.17,2.3,2.6,2.6
Paul Pierce,662,brooklyn-nets,2013/2014,12,12,30.7,13.7,0.3,4.2,4.5,2.0,1.17,0.33,1.7,3.7,1.2
Shaun Livingston,2393,brooklyn-nets,2013/2014,12,10,27.1,9.7,0.7,2.8,3.5,3.3,0.42,0.42,1.8,3.4,1.8
Mirza Teletovic,4385,brooklyn-nets,2013/2014,12,0,18.3,8.3,1.3,2.1,3.3,0.3,0.42,0.17,0.4,1.2,0.6
Kevin Garnett,261,brooklyn-nets,2013/2014,12,12,20.8,6.9,1.6,4.8,6.3,1.3,0.75,0.42,1.1,2.1,1.2
Andray Blatche,2746,brooklyn-nets,2013/2014,12,0,14.3,6.4,2.1,2.9,5.0,0.3,0.50,0.17,0.8,1.8,0.4
Alan Anderson,6569,brooklyn-nets,2013/2014,12,2,21.8,5.9,0.8,1.8,2.7,1.3,0.83,0.00,0.8,2.7,1.5
Marcus Thornton,4017,brooklyn-nets,2013/2014,10,0,12.4,5.9,0.7,1.2,1.9,0.1,0.20,0.10,0.2,0.4,0.5
Andrei Kirilenko,434,brooklyn-nets,2013/2014,10,0,14.4,2.5,1.0,1.3,2.3,1.0,1.00,0.30,0.3,1.1,3.3
Mason Plumlee,2488653,brooklyn-nets,2013/2014,10,0,11.4,2.2,0.5,1.8,2.3,0.2,0.30,0.70,0.9,2.4,0.2
Jorge Gutierrez,2327449,brooklyn-nets,2013/2014,2,0,1.5,1.0,0.5,0.0,0.5,0.0,0.00,0.00,0.0,0.0,0.0
Brook Lopez,3448,brooklyn-nets,2014/2015,6,6,39.0,19.8,3.3,5.7,9.0,0.8,0.67,2.17,1.0,3.0,0.8
Joe Johnson,1007,brooklyn-nets,2014/2015,6,6,41.5,16.5,0.8,6.8,7.7,4.8,1.17,0.00,0.8,2.7,5.8
Jarrett Jack,2768,brooklyn-nets,2014/2015,6,0,25.5,12.3,0.3,3.8,4.2,4.5,1.17,0.17,3.3,2.3,1.4
Deron Williams,2798,brooklyn-nets,2014/2015,6,6,32.0,11.8,0.5,5.7,6.2,5.5,1.33,0.00,2.7,3.0,2.1
Alan Anderson,6569,brooklyn-nets,2014/2015,6,0,23.7,11.0,0.3,3.2,3.5,1.2,0.67,0.17,1.3,1.5,0.9
Thaddeus Young,3244,brooklyn-nets,2014/2015,6,6,31.7,10.5,2.8,4.3,7.2,2.7,0.83,0.17,2.3,2.5,1.1
Bojan Bogdanovic,3593,brooklyn-nets,2014/2015,6,5,34.3,10.3,0.5,3.3,3.8,1.7,0.67,0.33,1.3,2.0,1.3
Earl Clark,3971,brooklyn-nets,2014/2015,2,0,6.5,3.0,0.0,1.0,1.0,0.0,0.50,0.00,0.0,0.5,0.0
Markel Brown,2530750,brooklyn-nets,2014/2015,2,1,5.0,3.0,1.0,0.0,1.0,0.5,0.00,0.00,1.0,0.0,0.5
